Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Alley  n. (pl. -s) 1 narrow street or passageway. 2 enclosure for skittles, bowling, etc. 3 walk or lane in a park etc. [french aller go]
Dwell  v. (past and past part. Dwelt or dwelled) live, reside.  dwell on (or upon) think, write, or speak at length on.  dweller n. [old english, = lead astray]
Agave  n. Plant with rosettes of narrow spiny leaves and flowers on tall stem. [agave, name of a woman in greek mythology]
Adobe  n. 1 sun-dried brick. 2 clay for making these. [spanish]
Akela  n. Adult leader of cub scouts. [name of the leader of the wolf-pack in kipling's jungle book]
Barre  n. Horizontal bar at waist level, used in dance exercises. [french]
Trope  n. Figurative use of a word. [greek tropos from trepo turn]
Corgi  n. (pl. -s) dog of a short-legged breed with a foxlike head. [welsh]
Heath  n. 1 area of flattish uncultivated land with low shrubs. 2 plant growing on a heath, esp. Heather. [old english]
Incur  v. (-rr-) bring on oneself (danger, blame, loss, etc.). [latin curro run]
Pixel  n. Any of the minute areas of uniform illumination of which an image on a display screen is composed. [abbreviation of picture element]
Pizza  n. Italian dish of a layer of dough baked with a topping of tomatoes, cheese, etc. [italian, = pie]
Bring  v. (past and past part. Brought) 1 come carrying; lead, accompany; convey. 2 cause or result in (war brings misery). 3 be sold for; produce as income. 4 a prefer (a charge). B initiate (legal action). 5 cause to become or to reach a state (brings me alive; cannot bring myself to agree). 6 adduce (evidence, an argument, etc.).  bring about cause to happen. Bring back call to mind. Bring down 1 cause to fall. 2 lower (a price). Bring forth 1 give birth to. 2 cause. Bring forward 1 move to an earlier time. 2 transfer from the previous page or account. 3 draw attention to. Bring home to cause to realize fully. Bring the house down receive rapturous applause. Bring in 1 introduce. 2 yield as income or profit. Bring off achieve successfully. Bring on cause to happen, appear, or make progress. Bring out 1 emphasize; make evident. 2 publish. Bring over convert to one's own side. Bring round 1 restore to consciousness. 2 persuade. Bring through aid (a person) through adversity, esp. Illness. Bring to restore to consciousness (brought him to). Bring up 1 rear (a child). 2 vomit. 3 call attention to. 4 (absol.) Stop suddenly. [old english]
Budge  v. (-ging) (usu. With neg.) 1 move slightly. 2 (cause to) change an opinion.  budge up (or over) make room for another person by moving. [french bouger]
Sonar  n. 1 system for the underwater detection of objects by reflected sound. 2 apparatus for this. [sound navigation and ranging]
Groat  n. Hist. Silver coin worth four old pence. [low german or dutch: related to *great]
Chore  n. Tedious or routine task, esp. Domestic. [from *char2]
Grebe  n. A kind of diving bird. [french]
Learn  v. (past and past part. Learned or learnt) 1 gain knowledge of or skill in. 2 commit to memory. 3 (foll. By of) be told about. 4 (foll. By that, how, etc.) Become aware of. 5 receive instruction. 6 archaic or dial. Teach. [old english]
Cruet  n. 1 set of small salt, pepper, etc. Containers for use at table. 2 such a container. [anglo-french diminutive: related to *crock2]
Rebus  n. (pl. Rebuses) representation of a word (esp. A name) by pictures etc. Suggesting its parts. [latin rebus, ablative pl. Of res thing]
Spine  n. 1 vertebrae extending from the skull to the coccyx; backbone. 2 needle-like outgrowth of an animal or plant. 3 part of a book enclosing the page-fastening. 4 sharp ridge or projection. [latin spina]
Civet  n. 1 (in full civet-cat) catlike animal of central africa. 2 strong musky perfume obtained from it. [french ultimately from arabic]
Coypu  n. (pl. -s) aquatic beaver-like rodent native to s. America. [araucan]
Carve  v. (-ving) 1 produce or shape by cutting. 2 a cut patterns etc. In. B (foll. By into) form a pattern etc. From (carved it into a bust). 3 (absol.) Cut (meat etc.) Into slices.  carve out 1 take from a larger whole. 2 establish (a career etc.) Purposefully. Carve up 1 subdivide. 2  drive aggressively into the path of (another vehicle). [old english]
Arris  n. Archit. Sharp edge at the junction of two surfaces. [french areste, = *arête]
Litre  n. (us liter) metric unit of capacity equal to 1 cubic decimetre (1.76 pints). [greek litra]
Folly  n. (pl. -ies) 1 foolishness. 2 foolish act, behaviour, idea, etc. 3 fanciful ornamental building created for display. [french folie from fol mad, *fool1]
Inuit  n. (also innuit) (pl. Same or -s) n. American eskimo. [eskimo inuit people]
Boult  var. Of *bolt2.
Cameo  n. (pl. -s) 1 small piece of hard stone carved in relief with a background of a different colour. 2 a short descriptive literary sketch or acted scene. B small character part in a play or film, usu. Brief and played by a distinguished actor. [french and medieval latin]
Bagel  n. Ring-shaped bread roll. [yiddish]
Penis  n.  Male organ of copulation and (in mammals) urination. [latin]
Straw  n. 1 dry cut stalks of grain as fodder or material for bedding, packing, etc. 2 single stalk of straw. 3 thin tube for sucking drink through. 4 insignificant thing. 5 pale yellow colour.  clutch at straws try any remedy in desperation. Straw in the wind indication of future developments. [old english]
Peril  n. Serious and immediate danger.  perilous adj. Perilously adv. [latin peric(u)lum]
Solan  n. (in full solan goose) large gooselike gannet. [old norse]
Chess  n. Game for two with 16 men each, played on a chessboard. [french: related to *check]
Retie  v. (retying) tie again.
Deign  v. (foll. By to + infin.) Think fit, condescend. [latin dignus worthy]
Ducat  n. Gold coin, formerly current in most of europe. [medieval latin ducatus *duchy]
Pylon  n. Tall structure, esp. As a support for electric-power cables etc. [greek pule gate]
Exult  v. Be joyful.  exultation n. Exultant adj. Exultantly adv. [latin ex(s)ulto from salio salt- leap]
Lisle  n. Fine cotton thread for stockings etc. [lille in france]
Grape  n. Berry (usu. Green, purple, or black) growing in clusters on a vine, used as fruit and in making wine. [french, probably from grappe hook]
Money  n. 1 coins and banknotes as a medium of exchange. 2 (pl. -eys or -ies) (in pl.) Sums of money. 3 a wealth. B wealth as power (money talks). C rich person or family (married into money).  for my money in my opinion; for my preference. In the money colloq. Having or winning a lot of money. Money for jam (or old rope) colloq. Profit for little or no trouble. [latin moneta]
Flint  n. 1 a hard grey siliceous stone. B piece of this, esp. As a primitive tool or weapon. 2 piece of hard alloy used to give a spark. 3 anything hard and unyielding.  flinty adj. (-ier, -iest). [old english]
Metro  n. (pl. -s) underground railway system, esp. In paris. [french shortened from métropolitain metropolitan]
Squaw  n. N. American indian woman or wife. [narragansett]
Limey  n. (pl. -s) us slang offens. British person (orig. A sailor) or ship. [from *lime2, because of the former enforced consumption of lime juice in the british navy]
Igloo  n. Eskimo dome-shaped dwelling, esp. Of snow. [eskimo, = house]
Feign  v. Simulate; pretend (feign madness). [latin fingo fict- mould, contrive]
Agony  n. (pl. -ies) 1 extreme mental or physical suffering. 2 severe struggle. [greek agon struggle]
Guava  n. 1 edible pale orange fruit with pink flesh. 2 tree bearing this. [spanish]
Links  n.pl. (treated as sing. Or pl.) Golf-course. [old english, = rising ground]
Toddy  n. (pl. -ies) drink of spirits with hot water and sugar etc. [hindustani tar palm]
Diver  n. 1 person who dives, esp. Working under water. 2 diving bird.
Basil  n. Aromatic herb used as flavouring. [greek basilikos royal]
Jewry  n. Jews collectively.
Henry  n. (pl. -s or -ies) electr. Si unit of inductance. [henry, name of a physicist]
Kazoo  n. Toy musical instrument into which the player sings or hums. [origin uncertain]
Plead  v. 1 (foll. By with) make an earnest appeal to. 2 (of an advocate) address a lawcourt. 3 maintain (a cause) in a lawcourt. 4 (foll. By guilty or not guilty) declare oneself to be guilty or not guilty of a charge. 5 allege as an excuse (plead insanity). 6 (often as pleading adj.) Make an appeal or entreaty (in a pleading voice). [anglo-french pleder: related to *plea]
Scuba  n. (pl. -s) aqualung. [acronym of self-contained underwater breathing apparatus]
Recto  n. (pl. -s) 1 right-hand page of an open book. 2 front of a printed leaf. [latin, = on the right]
Cycad  n. Palmlike plant often growing to a great height. [greek koix egyptian palm]
Wreak  v. 1 (usu. Foll. By upon) give play to (vengeance or one's anger etc.). 2 cause (damage etc.) (wreak havoc). [old english, = avenge]
Slake  v. (-king) 1 assuage or satisfy (thirst, a desire, etc.). 2 temper (quicklime) by combination with water. [old english: related to *slack1]
Moire  n. (in full moire antique) watered fabric, usu. Silk. [french: related to *mohair]
Hives  n.pl. Skin-eruption, esp. Nettle-rash. [origin unknown]
Mason  n. 1 person who builds with stone. 2 (mason) freemason. [french]
Heath  n. 1 area of flattish uncultivated land with low shrubs. 2 plant growing on a heath, esp. Heather. [old english]
Torso  n. (pl. -s) 1 trunk of the human body. 2 statue of this. [latin thyrsus rod]
Elver  n. Young eel. [from *eel, *fare]
Entry  n. (pl. -ies) 1 a going or coming in. B liberty to do this. 2 place of entrance; door, gate, etc. 3 passage between buildings. 4 a item entered in a diary, list, etc. B recording of this. 5 a person or thing competing in a race etc. B list of competitors. [romanic: related to *enter]
Havoc  n. Widespread destruction; great disorder. [french havo(t)]
Rabbi  n. (pl. -s) 1 jewish scholar or teacher, esp. Of the law. 2 jewish religious leader.  rabbinical adj. [hebrew, = my master]
Gamut  n. Entire range or scope.  run the gamut of experience or perform the complete range of. [latin gamma ut, words arbitrarily taken as names of notes]
Oscar  n. Any of the statuettes awarded by the us academy of motion picture arts and sciences for excellence in film acting, directing, etc. [man's name]
Panto  n. (pl. -s) colloq. = *pantomime 1. [abbreviation]
Braze  v. (-zing) solder with an alloy of brass and zinc. [french braser]
Loach  n. (pl. Same or -es) small freshwater fish. [french]
Turps  n. Colloq. Oil of turpentine. [abbreviation]
Hajji  n. (also hadji) (pl. -s) muslim who has made the pilgrimage to mecca. [persian from arabic]
Otter  n. 1 aquatic fish-eating mammal with webbed feet and thick brown fur. 2 its fur. [old english]
Mirth  n. Merriment, laughter.  mirthful adj. [old english: related to *merry]
Farce  n. 1 a low comedy with a ludicrously improbable plot. B this branch of drama. 2 absurdly futile proceedings; pretence.  farcical adj. [latin farcio to stuff, used metaphorically of interludes etc.]
Refer  v. (-rr-) (usu. Foll. By to) 1 make an appeal or have recourse to (some authority or source of information) (referred to his notes). 2 send on or direct (a person, or a question for decision). 3 (of a person speaking) make an allusion or direct the hearer's or reader's attention (did not refer to our problems). 4 (of a statement etc.) Be relevant; relate (these figures refer to last year). 5  send (a person) to a medical specialist etc. 6 (foll. By back to) a return (a document etc.) To its sender for clarification. B send (a proposal etc.) Back to (a lower body, court, etc.). 7 fail (a candidate in an examination).  referable adj. [latin refero relat- carry back]
Chili  var. Of *chilli.
Okapi  n. (pl. Same or -s) african giraffe-like mammal but with a shorter neck and striped body. [mbuba]
Bonus  n. Extra benefit or payment. [latin, = good]
Rogue  n. 1 dishonest or unprincipled person. 2 joc. Mischievous person, esp. A child. 3 (usu. Attrib.) Wild fierce animal driven away or living apart from others (rogue elephant). 4 (often attrib.) Inexplicably aberrant result or phenomenon; inferior or defective specimen. [origin unknown]
Emend  v. Edit (a text etc.) To make corrections.  emendation n. [latin menda fault]
Rondo  n. (pl. -s) musical form with a recurring leading theme. [french *rondeau]
Broom  n. 1 long-handled brush for sweeping. 2 shrub with bright yellow flowers. [old english]
Marry  v. (-ies, -ied) 1 take, join, or give in marriage. 2 a enter into marriage. B (foll. By into) become a member of (a family) by marriage. 3 a unite intimately, combine. B pair (socks etc.).  marry off find a spouse for. Marry up link, join. [latin maritus husband]
Serif  n. Slight projection at the extremities of a printed letter (cf. *sanserif). [origin uncertain]
Tommy  n. (pl. -ies) colloq. British private soldier. [tommy atkins, name used in specimens of completed official forms]
Intro  n. (pl. -s) colloq. Introduction. [abbreviation]
Crave  v. (-ving) (often foll. By for) long or beg for. [old english]
Flora  n. (pl. -s or florae) 1 plant life of a region or period. 2 list or book of these. [latin flora, name of the goddess of flowers]
Tweed  n. 1 rough-surfaced woollen cloth, usu. Of mixed flecked colours. 2 (in pl.) Clothes made of tweed. [alteration of tweel (scots var. Of *twill)]
Phial  n. Small glass bottle, esp. For liquid medicine. [greek phiate broad flat dish]
Enact  v. 1 a ordain, decree. B make (a bill etc.) Law. 2 play (a part on stage or in life).  enactive adj.
Julep  n. 1 a sweet drink, esp. As a vehicle for medicine. B medicated drink as a mild stimulant etc. 2 us iced and flavoured spirits and water (mint julep). [persian gulab rose-water]
Liken  v. (foll. By to) point out the resemblance of (a person or thing to another). [from *like1]
Swine  n. (pl. Same) 1 formal or us pig. 2 colloq. (pl. Same or -s) a contemptible person. B unpleasant or difficult thing.  swinish adj. [old english]
Anise  n. Plant with aromatic seeds. [greek anison]
Terry  n. (often attrib.) Looped pile fabric used esp. For towels and nappies. [origin unknown]
Music  n. 1 art of combining vocal or instrumental sounds in a harmonious or expressive way. 2 sounds so produced. 3 musical composition. 4 written or printed score of this. 5 pleasant natural sound.  music to one's ears something one is pleased to hear. [greek: related to *muse2]
Salon  n. 1 room or establishment of a hairdresser, beautician, etc. 2 hist. Meeting of eminent people in the home of a lady of fashion. 3 reception room, esp. Of a continental house. [french: related to *saloon]
Apple  n. 1 roundish firm fruit with crisp flesh. 2 tree bearing this.  apple of one's eye cherished person or thing. [old english]
Leper  n. 1 person with leprosy. 2 person who is shunned. [greek lepros scaly]
Gamin  n. 1 street urchin. 2 impudent child. [french]
Skunk  n. (pl. Same or -s) 1 black and white striped mammal emitting a powerful stench when attacked. 2 colloq. Contemptible person. [american indian]
Opium  n. Drug made from the juice of a certain poppy, used esp. As an analgesic and narcotic. [latin from greek opion]
Width  n. 1 measurement from side to side. 2 large extent. 3 liberality of views etc. 4 strip of material of full width.  widthways adv. [from *wide]
Erupt  v. 1 break out suddenly or dramatically. 2 (of a volcano) eject lava etc. 3 (of a rash etc.) Appear on the skin.  eruption n. Eruptive adj. [latin erumpo erupt- break out]
Hives  n.pl. Skin-eruption, esp. Nettle-rash. [origin unknown]
Rowan  n. (in full rowan-tree) 1 scot. & n.engl. Mountain ash. 2 (in full rowan-berry) its scarlet berry. [scandinavian]
Momma  n. Us colloq. Mother. [var. Of *mama]
Email  n. (also e-mail) = *electronic mail.
Argue  v. (-ues, -ued, -uing) 1 (often foll. By with, about, etc.) Exchange views forcefully or contentiously. 2 (often foll. By that) maintain by reasoning; indicate. 3 (foll. By for, against) reason. 4 treat (a matter) by reasoning. 5 (foll. By into, out of) persuade.  argue the toss colloq. Dispute a choice already made.  arguable adj. Arguably adv. [latin arguo make clear, prove]
Vetch  n. Plant of the pea family used largely for fodder. [latin vicia]
Aegis  n. Protection; support. [greek aigis shield of zeus or athene]
Guppy  n. (pl. -ies) freshwater fish of the w. Indies and s. America frequently kept in aquariums. [guppy, name of a clergyman]
Cupid  n. 1 roman god of love, represented as a naked winged boy archer. 2 (also cupid) representation of cupid. [latin cupio desire]
Loess  n. Deposit of fine wind-blown soil, esp. In the basins of large rivers. [swiss german, = loose]
Usage  various (unlike several) cannot be used with of, as (wrongly) in various of the guests arrived late.
Youth  n. (pl. -s) 1 being young; period between childhood and adult age. 2 vigour, enthusiasm, inexperience, or other characteristic of this period. 3 young man. 4 (as pl.) Young people collectively (the youth of the country). [old english: related to *young]
Atlas  n. Book of maps or charts. [greek atlas, the titan who held up the universe]
Druid  n. 1 priest of an ancient celtic religion. 2 member of a modern druidic order, esp. The gorsedd.  druidic adj. Druidism n. [latin from celtic]
Anvil  n. Iron block on which metals are worked. [old english]
Kneel  v. (past and past part. Knelt or esp. Us kneeled) fall or rest on the knees or a knee. [old english: related to *knee]
Emote  v. (-ting) show excessive emotion.
Crony  n. (pl. -ies) friend, companion. [greek khronios long-lasting]
Evens  n.pl. = *even money.
Apply  v. (-ies, -ied) 1 (often foll. By for, to, or to + infin.) Formally request. 2 be relevant. 3 a make use of; employ (apply the rules; apply common sense). B operate (apply the brakes). 4 (often foll. By to) put or spread on. 5 refl. (often foll. By to) devote oneself. [latin applico fasten to]
Creek  n. 1 a inlet on a sea-coast. B short arm of a river. 2 esp. Us, austral., & nz tributary of a river; stream.  up the creek slang 1 in difficulties. 2 crazy. [old norse and dutch]
Cling  v. (past and past part. Clung) 1 (often foll. By to) adhere. 2 (foll. By to) be unwilling to give up; be emotionally dependent on (a habit, idea, friend, etc.). 3 (often foll. By to) maintain grasp; keep hold; resist separation.  clingy adj. (-ier, -iest). [old english]
Field events  n.pl. Athletic events other than races.
Vogue  n. 1 (prec. By the) prevailing fashion. 2 (often attrib.) Popular use (had a great vogue).  in vogue in fashion.  voguish adj. [french from italian]
Fiord  n. (also fjord) long narrow sea inlet, as in norway. [norwegian]
Bidet  n. Low basin for sitting on to wash the genital area. [french, = pony]
Shard  n. Broken piece of pottery or glass etc. [old english]
Lemon  n. 1 a yellow oval citrus fruit with acidic juice. B tree bearing it. 2 pale yellow colour. 3 colloq. Person or thing regarded as a failure.  lemony adj. [arabic laimun]
Gable  n. 1 triangular upper part of a wall at the end of a ridged roof. 2 gable-topped wall.  gabled adj. [old norse and french]
Crier  n. (also cryer) 1 person who cries. 2 official making public announcements in a lawcourt or street. [related to *cry]
Creed  n. 1 set of principles or beliefs. 2 system of religious belief. 3 (often the creed) formal summary of christian doctrine. [latin: related to *credo]
Prank  n. Practical joke; piece of mischief. [origin unknown]
Forme  n. Printing body of type secured in a chase ready for printing. [var. Of *form]
Cuppa  n. Colloq. 1 cup of. 2 cup of tea. [corruption]
Moron  n. 1 colloq. Very stupid person. 2 adult with a mental age of 8–12.  moronic adj. [greek moros foolish]
Lurex  n. Propr. 1 type of yarn incorporating a glittering metallic thread. 2 fabric made from this.
Fiver  n. Colloq. Five-pound note.
Juice  n. 1 liquid part of vegetables or fruits. 2 animal fluid, esp. A secretion (gastric juice). 3 colloq. Petrol; electricity. [french from latin]
Greed  n. Excessive desire, esp. For food or wealth. [from *greedy]
Posse  n. 1 strong force or company. 2 body of law-enforcers. [latin, = be able]
Yahoo  n. Bestial person. [name of a race of brutes in gulliver's travels]
Ouzel  n. (also ousel) 1 (in full ring ouzel) white-breasted thrush. 2 (in full water ouzel) diving bird; dipper. [old english, = blackbird]
Scaur  var. Of *scar2.
Wield  v. Hold and use; command, exert (a weapon, tool, power, etc.). [old english]
Scrip  n. 1 provisional certificate of money subscribed, entitling the holder to dividends. 2 (collect.) Such certificates. 3 extra share or shares instead of a dividend. [abbreviation of subscription receipt]
Reich  n. The former german state, esp. The third reich. [german, = empire]
Bruit  v. (often foll. By abroad, about) spread (a report or rumour). [french, = noise]
Felon  n. Person who has committed a felony. [medieval latin fello]
Goner  n. Slang person or thing that is doomed or irrevocably lost.
Ripen  v. Make or become ripe.
Brink  n. 1 extreme edge of land before a precipice, river, etc. 2 furthest point before danger, discovery, etc.  on the brink of about to experience or suffer; in imminent danger of. [old norse]
Aisle  n. 1 the part of a church on either side of the nave, divided from it by pillars. 2 passage between rows of pews, seats, etc. [latin ala wing]
Lifer  n. Slang person serving a life sentence.
Tokay  n. A sweet hungarian wine. [tokaj in hungary]
Caber  n. Trimmed tree-trunk tossed as a sport in the scottish highlands. [gaelic]
Vizor  var. Of *visor.
Quire  n. 25 (formerly 24) sheets of paper. [latin: related to *quaternary]
Coney  var. Of *cony.
Voter  n. Person voting or with the right to vote at an election.
Arbor  n. (brit. Arbour) shady garden alcove enclosed by trees etc. [latin herba herb: assimilated to latin arbor tree]
Carob  n. Seed pod of a mediterranean tree used as a chocolate substitute. [arabic karruba]
Swain  n. 1 archaic country youth. 2 poet. Young lover or suitor. [old norse, = lad]
Ju-ju  n. 1 charm or fetish of some w. African peoples. 2 supernatural power attributed to this. [perhaps french joujou toy]
Raver  n. Colloq. Uninhibited pleasure-loving person.
Asset  n. 1 useful or valuable person or thing. 2 (usu. In pl.) Property and possessions, esp. That can be set against debts etc. [french asez from latin ad satis to enough]
Dipso  n. (pl. -s) colloq. Alcoholic. [abbreviation]
Wrist  n. 1 joint connecting the hand with the arm. 2 part of a garment covering this. [old english]
Aggro  n. Slang 1 aggressive hostility. 2 trouble, difficulty. [abbreviation of aggravation or aggression]
Motif  n. 1 theme that is repeated and developed in an artistic work. 2 decorative design or pattern. 3 ornament sewn separately on a garment. [french: related to *motive]
Bream  n. (pl. Same) 1 yellowish arch-backed freshwater fish. 2 (in full sea bream) similar marine fish. [french from germanic]
Shelf  n. (pl. Shelves) 1 wooden etc. Board projecting from a wall, or as part of a unit, used to store things. 2 a projecting horizontal ledge in a cliff face etc. B reef or sandbank.  on the shelf 1 (of a woman) regarded as too old to hope for marriage. 2 (esp. Of a retired person) put aside as if no longer useful. [low german]
Impel  v. (-ll-) 1 drive, force, or urge. 2 propel. [latin pello drive]
Radix  n. (pl. Radices) math. Number or symbol used as the basis of a numeration scale (e.g. Ten in the decimal system). [latin, = root]
Inter  v. (-rr-) bury (a corpse etc.). [latin terra earth]
Rodeo  n. (pl. -s) 1 exhibition of cowboys' skills in handling animals. 2 round-up of cattle on a ranch for branding etc. [spanish]
Teach  v. (past and past part. Taught) 1 a give systematic information, instruction, or training to (a person) or about (a subject or skill) (taught me to swim). B (absol.) Practise this professionally. C communicate, instruct in (suffering taught me patience). 2 advocate as a moral etc. Principle (taught forgiveness). 3 (foll. By to + infin.) A instruct (a person) by example or punishment (that will teach you not to disobey). B colloq. Discourage (a person) from (that will teach you to laugh).  teachable adj. [old english]
Spree  n. Colloq. 1 extravagant outing (shopping spree). 2 bout of fun or drinking etc. [origin unknown]
Haven  n. 1 refuge. 2 harbour, port. [old english]
Sully  v. (-ies, -ied) disgrace or tarnish (a reputation etc.). [french souiller: related to *soil2]
Ether  n. 1 chem. Colourless volatile organic liquid used as an anaesthetic or solvent. 2 clear sky; upper regions of the air. 3 hist. A medium formerly assumed to permeate all space. B medium through which electromagnetic waves were formerly thought to be transmitted. [greek aitho burn]
Donor  n. 1 person who donates (e.g. To charity). 2 person who provides blood, semen, or an organ or tissue for medical use.
Holly  n. (pl. -ies) evergreen shrub with prickly leaves and red berries. [old english]
Friar  n. Member of a male non-enclosed roman catholic order, e.g. Carmelites and franciscans. [latin frater brother]
Boxer  n. 1 person who boxes, esp. As a sport. 2 medium-size short-haired dog with a puglike face.
Slink  v. (past and past part. Slunk) (often foll. By off, away, by) move in a stealthy or guilty manner. [old english]
Spate  n. 1 river-flood (river in spate). 2 unexpected occurrence of similar events (spate of car thefts). [origin unknown]
Newel  n. 1 supporting central post of winding stairs. 2 (also newel post) top or bottom supporting post of a stair-rail. [latin nodus knot]
Vapor  n. (brit. Vapour) 1 moisture or other substance diffused or suspended in air, e.g. Mist, smoke. 2  gaseous form of a substance. 3 medicinal inhalant.  vaporous adj. Vapoury adj. [latin vapor steam]
Cigar  n. Tight roll of tobacco-leaves for smoking. [french or spanish]
Glade  n. Open space in a forest. [origin unknown]
Antic  n. (usu. In pl.) Foolish behaviour or action. [italian antico *antique]
Debut  n. (brit. Début) first public appearance (as a performer etc.). [french]
Infer  v. (-rr-) 1 deduce or conclude. 2 imply.  inferable adj. [latin fero bring]
Medic  n. Colloq. Medical practitioner or student. [latin medicus physician]
Agate  n. Hard usu. Streaked chalcedony. [greek akhates]
Slush  n. 1 thawing muddy snow. 2 silly sentimentality.  slushy adj. (-ier, -iest). [origin unknown]
Spoor  n. Animal's track or scent. [dutch]
Magus  n. (pl. Magi) 1 priest of ancient persia. 2 sorcerer. 3 (the magi) the ‘wise men’ from the east (matt. 2:1–12). [persian magus]
Wager  n. & v. = *bet. [anglo-french: related to *wage]
Vaunt  v. & n. Literary boast. [latin: related to *vain]
Piste  n. Ski-run of compacted snow. [french, = racetrack]
Gesso  n. (pl. -es) gypsum as used in painting or sculpture. [italian: related to *gypsum]
Gorse  n. Spiny yellow-flowered shrub; furze.  gorsy adj. [old english]
Waive  v. (-ving) refrain from insisting on or using (a right, claim, opportunity, etc.). [anglo-french weyver: related to *waif]
Plaid  n. 1 (often attrib.) Chequered or tartan, esp. Woollen, twilled cloth (plaid skirt). 2 long piece of this worn over the shoulder in highland scottish costume. [gaelic]
Blurb  n. Promotional description, esp. Of a book. [coined by g. Burgess 1907]
Eaves  n.pl. Underside of a projecting roof. [old english]
Medal  n. Commemorative metal disc etc., esp. Awarded for military or sporting prowess. [latin: related to *metal]
Tenor  n. 1 a male singing-voice between baritone and alto or counter-tenor. B singer with this voice. 2 (often attrib.) Instrument with a similar range. 3 (usu. Foll. By of) general meaning. 4 (usu. Foll. By of) prevailing course, esp. Of a person's life or habits. [latin teneo hold]
Scree  n. (in sing. Or pl.) 1 small loose stones. 2 mountain slope covered with these. [old norse, = landslip]
Tumor  n. (brit. Tumour) a swelling, esp. From an abnormal growth of tissue.  tumorous adj. [latin tumeo swell]
Exalt  v. 1 raise in rank or power etc. 2 praise highly. 3 (usu. As exalted adj.) Make lofty or noble (exalted aims; exalted style).  exaltation n. [latin altus high]
Delft  n. (also delftware) glazed, usu. Blue and white, earthenware. [delft in holland]
Tilde  n. Mark (˜) put over a letter, e.g. Over a spanish n when pronounced ny (as in señor). [latin: related to *title]
Heath  n. 1 area of flattish uncultivated land with low shrubs. 2 plant growing on a heath, esp. Heather. [old english]
Laser  n. Device that generates an intense beam of coherent light, or other electromagnetic radiation, in one direction. [light amplification by stimulated emission of radiation]
Topic  n. Subject of a discourse, conversation, or argument. [greek topos place, commonplace]
Cissy  var. Of *sissy.
Diner  n. 1 person who dines. 2 dining-car. 3 us small restaurant. 4 small dining-room.
Felly  var. Of *felloe.
Provo  n. (pl. -s) colloq. Provisional. [abbreviation]
Wiper  n. = *windscreen wiper.
Pager  n. Bleeping radio device, calling its wearer to the telephone etc.
Curio  n. (pl. -s) rare or unusual object. [abbreviation of *curiosity]
Jerry  n. (pl. -ies) slang chamber-pot. [probably an abbreviation of *jeroboam]
Twill  n. Fabric so woven as to have a surface of diagonal parallel ridges.  twilled adj. [old english, = two-thread]
Banjo  n. (pl. -s or -es) guitar-like stringed instrument with a circular body.  banjoist n. [us southern corruption of bandore from greek pandoura lute]
Buyer  n. 1 person employed to purchase stock for a large store etc. 2 purchaser, customer.
Audio  n. (usu. Attrib.) Sound or its reproduction. [latin audio hear]
Chest  n. 1 large strong box. 2 a part of the body enclosed by the ribs. B front surface of the body from the neck to the bottom of the ribs. 3 small cabinet for medicines etc.  get a thing off one's chest colloq. Disclose a secret etc. To relieve one's anxiety about it. [latin cista]
Omega  n. 1 last (24th) letter of the greek alphabet (w, w). 2 last of a series; final development. [greek o mega = great o]
Pewit  var. Of *peewit.
Mosey  v. (-eys, -eyed) (often foll. By along) slang go in a leisurely manner. [origin unknown]
Alpha  n. 1 first letter of the greek alphabet (a, a). 2 first-class mark for a piece of work etc.  alpha and omega beginning and end. [latin from greek]
Scrum  n. 1 scrummage. 2 colloq. = *scrimmage. [abbreviation]
Lingo  n. (pl. -s or -es) colloq. 1 foreign language. 2 vocabulary of a special subject or group. [probably from portuguese lingoa from latin lingua tongue]
Llama  n. S. American ruminant kept as a beast of burden and for its soft woolly fleece. [spanish from quechua]
Shirk  v. (also absol.) Avoid (duty, work, etc.).  shirker n. [german schurke scoundrel]
Sumac  n. (also sumach) 1 shrub with reddish conical fruits used as a spice. 2 dried and ground leaves of this used in tanning and dyeing. [french from arabic]
Marsh  n. (often attrib.) Low watery land.  marshy adj. (-ier, -iest). Marshiness n. [old english]
Mecca  n. Place one aspires to visit. [mecca, muslim holy city in arabia]
Sidle  v. (-ling) (usu. Foll. By along, up) walk timidly or furtively. [shortening of *sidelong]
Argon  n. Inert gaseous element. [greek argos idle]
Gauze  n. 1 thin transparent fabric of silk, cotton, etc. 2 fine mesh of wire etc.  gauzy adj. (-ier, -iest). [french from gaza in palestine]
Truce  n. Temporary agreement to cease hostilities. [originally trewes pl.: old english, = covenant: related to *true]
Girth  n. 1 distance round a thing. 2 band round the body of a horse to secure the saddle etc. [old norse: related to *gird]
Genre  n. 1 kind or style of art etc. 2 painting of scenes from ordinary life. [french: related to *gender]
Wodge  n. Colloq. Chunk, lump. [alteration of *wedge]
Levis  n.pl. (also levi's propr.) Type of (orig. Blue) denim jeans or overalls reinforced with rivets. [levi strauss, name of the manufacturer]
Sloop  n. Small one-masted fore-and-aft rigged vessel. [dutch sloep]
Repot  v. (-tt-) move (a plant) to another, esp. Larger, pot.
Badge  n. 1 small flat emblem worn to signify office, membership, etc., or as decoration. 2 thing that reveals a condition or quality. [origin unknown]
Zilch  n. Esp. Us slang nothing. [origin uncertain]
